,fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
0,24749,2,2,Denmark;Copenhagen,2016-01-01,149,0.963,0.55
3032,27781,8,5,Germany;Berlin,2016-04-11,145,0.977,0.55
3033,27782,7,5,Germany;Berlin,2016-04-11,144,0.977,0.55
3034,27783,9,5,Germany;Berlin,2016-04-11,144,0.977,0.55
3035,27784,8,7,Germany;Frankfurt,2016-04-11,139,0.977,0.55
3036,27785,9,1,Czech republic;Prague,2016-04-11,138,0.977,0.55
3037,27786,10,3,Czech republic;Ostrava,2016-04-11,136,0.977,0.55
3038,27787,2,7,Germany;Frankfurt,2016-04-11,134,0.977,0.55
3039,27788,5,6,Germany;Dresden,2016-04-11,132,0.977,0.55
3040,27789,10,4,Germany;Frankfurt,2016-04-11,128,0.977,0.55
3041,27790,7,6,Germany;Dresden,2016-04-11,127,0.977,0.55
3042,27791,2,7,Germany;Frankfurt,2016-04-11,119,0.977,0.55
3043,27792,3,7,Germany;Frankfurt,2016-04-11,117,0.977,0.55
3044,27793,1,3,Czech republic;Brno,2016-04-11,116,0.977,0.55
3045,27794,7,2,Denmark;Copenhagen,2016-04-11,115,0.977,0.55
3046,27795,10,7,Germany;Frankfurt,2016-04-11,110,0.977,0.55
3047,27796,10,6,Germany;Dresden,2016-04-11,109,0.977,0.55
3048,27797,11,3,Czech republic;Ostrava,2016-04-11,109,0.977,0.55
3049,27798,7,2,Denmark;Copenhagen,2016-04-11,106,0.977,0.55
3050,27799,4,5,Germany;Berlin,2016-04-11,98,0.977,0.4
3051,27800,11,2,Denmark;Copenhagen,2016-04-11,97,0.977,0.4
3052,27801,5,2,Denmark;Copenhagen,2016-04-11,96,0.977,0.4
3053,27802,6,5,Germany;Berlin,2016-04-11,94,0.977,0.4
3054,27803,6,6,Germany;Dresden,2016-04-11,91,0.977,0.4
3055,27804,9,2,Denmark;Copenhagen,2016-04-11,89,0.977,0.4
3056,27805,2,3,Czech republic;Brno,2016-04-11,84,0.977,0.4
3057,27806,5,5,Germany;Berlin,2016-04-11,83,0.977,0.4
3058,27807,11,5,Germany;Berlin,2016-04-11,82,0.977,0.4
3059,27808,10,7,Germany;Frankfurt,2016-04-11,82,0.977,0.4
3060,27809,8,5,Germany;Berlin,2016-04-11,81,0.977,0.4
3061,27810,11,5,Germany;Berlin,2016-04-11,81,0.977,0.4
3062,27811,9,6,Germany;Dresden,2016-04-11,75,0.977,0.15
3063,27812,2,5,Germany;Berlin,2016-04-11,73,0.977,0.15
3064,27813,1,2,Denmark;Copenhagen,2016-04-11,72,0.977,0.15
3065,27814,5,6,Germany;Dresden,2016-04-11,65,0.977,0.15
3066,27815,7,6,Germany;Dresden,2016-04-11,62,0.977,0.15
3067,27816,8,4,Germany;Frankfurt,2016-04-11,60,0.977,0.15
3068,27817,10,1,Czech republic;Prague,2016-04-11,59,0.977,0.15
3069,27818,5,5,Germany;Berlin,2016-04-11,57,0.977,0.15
3070,27819,4,1,Czech republic;Prague,2016-04-11,57,0.977,0.15
3071,27820,6,7,Germany;Frankfurt,2016-04-11,57,0.977,0.15
3072,27821,4,1,Czech republic;Prague,2016-04-11,55,0.977,0.15
3073,27822,7,5,Germany;Berlin,2016-04-11,54,0.977,0.15
3074,27823,10,5,Germany;Berlin,2016-04-11,52,0.977,0.15
3075,27824,8,7,Germany;Frankfurt,2016-04-11,46,0.977,0.15
3076,27825,9,4,Germany;Frankfurt,2016-04-11,44,0.977,0.15
3077,27826,5,7,Germany;Frankfurt,2016-04-11,43,0.977,0.15
3078,27827,7,2,Denmark;Copenhagen,2016-04-11,42,0.977,0.15
3079,27828,8,7,Germany;Frankfurt,2016-04-11,38,0.977,0.15
3080,27829,3,2,Denmark;Copenhagen,2016-04-11,37,0.977,0.15
3081,27830,11,5,Germany;Berlin,2016-04-11,37,0.977,0.15
3082,27831,1,5,Germany;Berlin,2016-04-11,37,0.977,0.15
3083,27832,4,7,Germany;Frankfurt,2016-04-11,31,0.977,0.15
3084,27833,5,5,Germany;Berlin,2016-04-11,31,0.977,0.15
3085,27834,2,5,Germany;Berlin,2016-04-11,29,0.977,0.15
3086,27835,10,5,Germany;Berlin,2016-04-11,25,0.977,0.01
3087,27836,3,7,Germany;Frankfurt,2016-04-11,24,0.977,0.01
3088,27837,6,5,Germany;Berlin,2016-04-11,22,0.977,0.01
3089,27838,8,6,Germany;Dresden,2016-04-11,22,0.977,0.01
3090,27839,3,1,Czech republic;Prague,2016-04-11,22,0.977,0.01
3091,27840,8,5,Germany;Berlin,2016-04-11,18,0.977,0.01
3092,27841,8,2,Denmark;Copenhagen,2016-04-11,17,0.977,0.01
3093,27842,2,6,Germany;Dresden,2016-04-11,17,0.977,0.01
3094,27843,7,7,Germany;Frankfurt,2016-04-11,6,0.977,0.0
3095,27844,5,1,Czech republic;Prague,2016-04-11,2,0.977,0.0
3096,27845,9,5,Germany;Berlin,2016-04-11,2,0.977,0.0
3097,27846,11,7,Germany;Frankfurt,2016-04-12,145,0.977,0.55
3098,27847,4,5,Germany;Berlin,2016-04-12,144,0.977,0.55
3099,27848,5,7,Germany;Frankfurt,2016-04-12,142,0.977,0.55
3100,27849,6,4,Germany;Frankfurt,2016-04-12,140,0.977,0.55
3101,27850,10,5,Germany;Berlin,2016-04-12,139,0.977,0.55
3102,27851,8,5,Germany;Berlin,2016-04-12,137,0.977,0.55
3103,27852,2,5,Germany;Berlin,2016-04-12,133,0.977,0.55
3104,27853,3,2,Denmark;Copenhagen,2016-04-12,129,0.977,0.55
3105,27854,3,5,Germany;Berlin,2016-04-12,127,0.977,0.55
3106,27855,7,5,Germany;Berlin,2016-04-12,125,0.977,0.55
3107,27856,10,4,Germany;Frankfurt,2016-04-12,124,0.977,0.55
3108,27857,4,1,Czech republic;Prague,2016-04-12,121,0.977,0.55
3109,27858,8,5,Germany;Berlin,2016-04-12,108,0.977,0.55
3110,27859,9,7,Germany;Frankfurt,2016-04-12,102,0.977,0.55
3111,27860,1,4,Germany;Frankfurt,2016-04-12,100,0.977,0.55
3112,27861,1,3,Czech republic;Brno,2016-04-12,96,0.977,0.4
3113,27862,4,4,Germany;Frankfurt,2016-04-12,95,0.977,0.4
3114,27863,8,5,Germany;Berlin,2016-04-12,88,0.977,0.4
3115,27864,6,3,Czech republic;Brno,2016-04-12,87,0.977,0.4
3116,27865,2,5,Germany;Berlin,2016-04-12,86,0.977,0.4
3117,27866,9,7,Germany;Frankfurt,2016-04-12,80,0.977,0.4
3118,27867,1,7,Germany;Frankfurt,2016-04-12,75,0.977,0.15
3119,27868,5,1,Czech republic;Prague,2016-04-12,73,0.977,0.15
3120,27869,2,6,Germany;Dresden,2016-04-12,73,0.977,0.15
3121,27870,3,3,Czech republic;Brno,2016-04-12,69,0.977,0.15
3122,27871,7,5,Germany;Berlin,2016-04-12,61,0.977,0.15
3123,27872,1,7,Germany;Frankfurt,2016-04-12,60,0.977,0.15
3124,27873,11,7,Germany;Frankfurt,2016-04-12,51,0.977,0.15
3125,27874,9,1,Czech republic;Prague,2016-04-12,48,0.977,0.15
3126,27875,3,5,Germany;Berlin,2016-04-12,47,0.977,0.15
3127,27876,8,5,Germany;Berlin,2016-04-12,47,0.977,0.15
3128,27877,4,3,Czech republic;Brno,2016-04-12,46,0.977,0.15
3129,27878,5,7,Germany;Frankfurt,2016-04-12,40,0.977,0.15
3130,27879,11,5,Germany;Berlin,2016-04-12,38,0.977,0.15
3131,27880,5,2,Denmark;Copenhagen,2016-04-12,37,0.977,0.15
3132,27881,6,4,Germany;Frankfurt,2016-04-12,35,0.977,0.15
3133,27882,4,1,Czech republic;Prague,2016-04-12,34,0.977,0.15
3134,27883,4,5,Germany;Berlin,2016-04-12,31,0.977,0.15
3135,27884,10,1,Czech republic;Prague,2016-04-12,30,0.977,0.15
3136,27885,5,6,Germany;Dresden,2016-04-12,29,0.977,0.15
3137,27886,5,7,Germany;Frankfurt,2016-04-12,28,0.977,0.15
3138,27887,4,3,Czech republic;Brno,2016-04-12,27,0.977,0.15
3139,27888,6,7,Germany;Frankfurt,2016-04-12,21,0.977,0.01
3140,27889,8,6,Germany;Dresden,2016-04-12,20,0.977,0.01
3141,27890,9,3,Czech republic;Ostrava,2016-04-12,17,0.977,0.01
3142,27891,10,4,Germany;Frankfurt,2016-04-12,11,0.977,0.01
3143,27892,4,7,Germany;Frankfurt,2016-04-12,9,0.977,0.0
3144,27893,7,7,Germany;Frankfurt,2016-04-12,5,0.977,0.0
3145,27894,8,7,Germany;Frankfurt,2016-04-12,4,0.977,0.0
3146,27895,10,7,Germany;Frankfurt,2016-04-12,4,0.977,0.0
3147,27896,9,2,Denmark;Copenhagen,2016-04-12,1,0.977,0.0
3148,27897,3,3,Czech republic;Brno,2016-04-13,150,0.971,0.55
3149,27898,11,3,Czech republic;Ostrava,2016-04-13,145,0.971,0.55
3150,27899,7,3,Czech republic;Ostrava,2016-04-13,144,0.971,0.55
3151,27900,2,1,Czech republic;Prague,2016-04-13,143,0.971,0.55
3152,27901,9,5,Germany;Berlin,2016-04-13,142,0.971,0.55
3153,27902,1,5,Germany;Berlin,2016-04-13,141,0.971,0.55
3154,27903,3,2,Denmark;Copenhagen,2016-04-13,133,0.971,0.55
3155,27904,10,5,Germany;Berlin,2016-04-13,129,0.971,0.55
3156,27905,2,5,Germany;Berlin,2016-04-13,123,0.971,0.55
3157,27906,6,6,Germany;Dresden,2016-04-13,123,0.971,0.55
3158,27907,4,5,Germany;Berlin,2016-04-13,122,0.971,0.55
3159,27908,11,7,Germany;Frankfurt,2016-04-13,121,0.971,0.55
3160,27909,3,7,Germany;Frankfurt,2016-04-13,114,0.971,0.55
3161,27910,5,5,Germany;Berlin,2016-04-13,111,0.971,0.55
3162,27911,3,6,Germany;Dresden,2016-04-13,109,0.971,0.55
3163,27912,2,7,Germany;Frankfurt,2016-04-13,109,0.971,0.55
3164,27913,10,7,Germany;Frankfurt,2016-04-13,108,0.971,0.55
3165,27914,11,6,Germany;Dresden,2016-04-13,107,0.971,0.55
3166,27915,9,1,Czech republic;Prague,2016-04-13,90,0.971,0.4
3167,27916,8,7,Germany;Frankfurt,2016-04-13,90,0.971,0.4
3168,27917,11,4,Germany;Frankfurt,2016-04-13,88,0.971,0.4
3169,27918,5,7,Germany;Frankfurt,2016-04-13,87,0.971,0.4
3170,27919,3,7,Germany;Frankfurt,2016-04-13,85,0.971,0.4
3171,27920,2,1,Czech republic;Prague,2016-04-13,81,0.971,0.4
3172,27921,1,4,Germany;Frankfurt,2016-04-13,81,0.971,0.4
3173,27922,5,1,Czech republic;Prague,2016-04-13,76,0.971,0.4
3174,27923,2,7,Germany;Frankfurt,2016-04-13,72,0.971,0.15
3175,27924,8,1,Czech republic;Prague,2016-04-13,68,0.971,0.15
3176,27925,1,4,Germany;Frankfurt,2016-04-13,65,0.971,0.15
3177,27926,1,6,Germany;Dresden,2016-04-13,63,0.971,0.15
3178,27927,7,7,Germany;Frankfurt,2016-04-13,62,0.971,0.15
3179,27928,5,7,Germany;Frankfurt,2016-04-13,59,0.971,0.15
3180,27929,6,5,Germany;Berlin,2016-04-13,48,0.971,0.15
3181,27930,9,1,Czech republic;Prague,2016-04-13,47,0.971,0.15
3182,27931,5,1,Czech republic;Prague,2016-04-13,45,0.971,0.15
3183,27932,11,5,Germany;Berlin,2016-04-13,45,0.971,0.15
3184,27933,7,7,Germany;Frankfurt,2016-04-13,40,0.971,0.15
3185,27934,7,2,Denmark;Copenhagen,2016-04-13,35,0.971,0.15
3186,27935,1,7,Germany;Frankfurt,2016-04-13,34,0.971,0.15
3187,27936,9,2,Denmark;Copenhagen,2016-04-13,30,0.971,0.15
3188,27937,5,7,Germany;Frankfurt,2016-04-13,29,0.971,0.15
3189,27938,4,4,Germany;Frankfurt,2016-04-13,28,0.971,0.15
3190,27939,7,5,Germany;Berlin,2016-04-13,22,0.971,0.01
3191,27940,2,1,Czech republic;Prague,2016-04-13,22,0.971,0.01
3192,27941,8,6,Germany;Dresden,2016-04-13,20,0.971,0.01
3193,27942,11,3,Czech republic;Ostrava,2016-04-13,16,0.971,0.01
3194,27943,1,7,Germany;Frankfurt,2016-04-13,6,0.971,0.0
3195,27944,4,7,Germany;Frankfurt,2016-04-13,3,0.971,0.0
3196,27945,11,5,Germany;Berlin,2016-04-13,2,0.971,0.0
3197,27946,11,3,Czech republic;Ostrava,2016-04-13,1,0.971,0.0
3198,27947,8,3,Czech republic;Ostrava,2016-04-13,1,0.971,0.0
3199,27948,1,1,Czech republic;Prague,2016-04-14,149,0.976,0.55
3200,27949,5,2,Denmark;Copenhagen,2016-04-14,148,0.976,0.55
3201,27950,6,3,Czech republic;Brno,2016-04-14,148,0.976,0.55
3202,27951,2,7,Germany;Frankfurt,2016-04-14,145,0.976,0.55
3203,27952,9,6,Germany;Dresden,2016-04-14,141,0.976,0.55
3204,27953,6,3,Czech republic;Brno,2016-04-14,141,0.976,0.55
3205,27954,6,2,Denmark;Copenhagen,2016-04-14,139,0.976,0.55
3206,27955,5,2,Denmark;Copenhagen,2016-04-14,138,0.976,0.55
3207,27956,7,5,Germany;Berlin,2016-04-14,136,0.976,0.55
3208,27957,8,6,Germany;Dresden,2016-04-14,134,0.976,0.55
3209,27958,8,7,Germany;Frankfurt,2016-04-14,131,0.976,0.55
3210,27959,10,7,Germany;Frankfurt,2016-04-14,127,0.976,0.55
3211,27960,1,7,Germany;Frankfurt,2016-04-14,127,0.976,0.55
3212,27961,7,7,Germany;Frankfurt,2016-04-14,125,0.976,0.55
3213,27962,6,3,Czech republic;Brno,2016-04-14,124,0.976,0.55
3214,27963,10,1,Czech republic;Prague,2016-04-14,117,0.976,0.55
3215,27964,9,5,Germany;Berlin,2016-04-14,112,0.976,0.55
3216,27965,3,7,Germany;Frankfurt,2016-04-14,110,0.976,0.55
3217,27966,7,5,Germany;Berlin,2016-04-14,101,0.976,0.55
3218,27967,9,3,Czech republic;Ostrava,2016-04-14,96,0.976,0.4
3219,27968,8,6,Germany;Dresden,2016-04-14,94,0.976,0.4
3220,27969,6,3,Czech republic;Brno,2016-04-14,91,0.976,0.4
3221,27970,11,4,Germany;Frankfurt,2016-04-14,90,0.976,0.4
3222,27971,9,5,Germany;Berlin,2016-04-14,87,0.976,0.4
3223,27972,10,5,Germany;Berlin,2016-04-14,77,0.976,0.4
3224,27973,5,1,Czech republic;Prague,2016-04-14,76,0.976,0.4
3225,27974,6,5,Germany;Berlin,2016-04-14,72,0.976,0.15
3226,27975,5,6,Germany;Dresden,2016-04-14,70,0.976,0.15
3227,27976,9,1,Czech republic;Prague,2016-04-14,70,0.976,0.15
3228,27977,3,2,Denmark;Copenhagen,2016-04-14,65,0.976,0.15
3229,27978,3,4,Germany;Frankfurt,2016-04-14,60,0.976,0.15
3230,27979,5,5,Germany;Berlin,2016-04-14,43,0.976,0.15
3231,27980,10,5,Germany;Berlin,2016-04-14,42,0.976,0.15
3232,27981,2,5,Germany;Berlin,2016-04-14,42,0.976,0.15
3233,27982,7,5,Germany;Berlin,2016-04-14,36,0.976,0.15
3234,27983,7,7,Germany;Frankfurt,2016-04-14,35,0.976,0.15
3235,27984,4,3,Czech republic;Brno,2016-04-14,33,0.976,0.15
3236,27985,9,7,Germany;Frankfurt,2016-04-14,32,0.976,0.15
3237,27986,5,5,Germany;Berlin,2016-04-14,32,0.976,0.15
3238,27987,2,1,Czech republic;Prague,2016-04-14,31,0.976,0.15
3239,27988,5,4,Germany;Frankfurt,2016-04-14,28,0.976,0.15
3240,27989,9,6,Germany;Dresden,2016-04-14,28,0.976,0.15
3241,27990,3,4,Germany;Frankfurt,2016-04-14,23,0.976,0.01
3242,27991,3,7,Germany;Frankfurt,2016-04-14,20,0.976,0.01
3243,27992,9,2,Denmark;Copenhagen,2016-04-14,12,0.976,0.01
3244,27993,1,5,Germany;Berlin,2016-04-14,12,0.976,0.01
3245,27994,11,5,Germany;Berlin,2016-04-14,9,0.976,0.0
3246,27995,3,5,Germany;Berlin,2016-04-14,8,0.976,0.0
3247,27996,4,7,Germany;Frankfurt,2016-04-14,3,0.976,0.0
3248,27997,6,6,Germany;Dresden,2016-04-14,2,0.976,0.0
3249,27998,8,5,Germany;Berlin,2016-04-15,149,0.978,0.55
3250,27999,1,5,Germany;Berlin,2016-04-15,148,0.978,0.55
3251,28000,6,6,Germany;Dresden,2016-04-15,146,0.978,0.55
3252,28001,10,5,Germany;Berlin,2016-04-15,146,0.978,0.55
3253,28002,4,7,Germany;Frankfurt,2016-04-15,143,0.978,0.55
3254,28003,9,5,Germany;Berlin,2016-04-15,141,0.978,0.55
3255,28004,5,1,Czech republic;Prague,2016-04-15,137,0.978,0.55
3256,28005,2,7,Germany;Frankfurt,2016-04-15,136,0.978,0.55
3257,28006,2,5,Germany;Berlin,2016-04-15,132,0.978,0.55
3258,28007,11,5,Germany;Berlin,2016-04-15,125,0.978,0.55
3259,28008,1,3,Czech republic;Brno,2016-04-15,124,0.978,0.55
3260,28009,3,2,Denmark;Copenhagen,2016-04-15,122,0.978,0.55
3261,28010,9,5,Germany;Berlin,2016-04-15,114,0.978,0.55
3262,28011,3,7,Germany;Frankfurt,2016-04-15,111,0.978,0.55
3263,28012,10,7,Germany;Frankfurt,2016-04-15,102,0.978,0.55
3264,28013,9,7,Germany;Frankfurt,2016-04-15,82,0.978,0.4
3265,28014,2,7,Germany;Frankfurt,2016-04-15,81,0.978,0.4
3266,28015,5,6,Germany;Dresden,2016-04-15,78,0.978,0.4
3267,28016,5,2,Denmark;Copenhagen,2016-04-15,76,0.978,0.4
3268,28017,4,5,Germany;Berlin,2016-04-15,73,0.978,0.15
3269,28018,2,5,Germany;Berlin,2016-04-15,70,0.978,0.15
3270,28019,5,3,Czech republic;Brno,2016-04-15,69,0.978,0.15
3271,28020,10,5,Germany;Berlin,2016-04-15,63,0.978,0.15
3272,28021,1,7,Germany;Frankfurt,2016-04-15,62,0.978,0.15
3273,28022,10,4,Germany;Frankfurt,2016-04-15,57,0.978,0.15
3274,28023,4,7,Germany;Frankfurt,2016-04-15,47,0.978,0.15
3275,28024,6,7,Germany;Frankfurt,2016-04-15,44,0.978,0.15
3276,28025,3,5,Germany;Berlin,2016-04-15,42,0.978,0.15
3277,28026,7,7,Germany;Frankfurt,2016-04-15,39,0.978,0.15
3278,28027,3,7,Germany;Frankfurt,2016-04-15,35,0.978,0.15
3279,28028,1,5,Germany;Berlin,2016-04-15,31,0.978,0.15
3280,28029,7,5,Germany;Berlin,2016-04-15,30,0.978,0.15
3281,28030,6,6,Germany;Dresden,2016-04-15,28,0.978,0.15
3282,28031,5,5,Germany;Berlin,2016-04-15,24,0.978,0.01
3283,28032,10,6,Germany;Dresden,2016-04-15,24,0.978,0.01
3284,28033,4,2,Denmark;Copenhagen,2016-04-15,20,0.978,0.01
3285,28034,9,4,Germany;Frankfurt,2016-04-15,20,0.978,0.01
3286,28035,4,3,Czech republic;Brno,2016-04-15,15,0.978,0.01
3287,28036,2,7,Germany;Frankfurt,2016-04-15,15,0.978,0.01
3288,28037,9,1,Czech republic;Prague,2016-04-15,13,0.978,0.01
3289,28038,3,1,Czech republic;Prague,2016-04-15,9,0.978,0.0
3290,28039,3,2,Denmark;Copenhagen,2016-04-15,7,0.978,0.0
3291,28040,9,3,Czech republic;Ostrava,2016-04-15,3,0.978,0.0
3292,28041,8,3,Czech republic;Ostrava,2016-04-15,2,0.978,0.0
3293,28042,2,6,Germany;Dresden,2016-04-16,150,0.98,0.55
3294,28043,4,6,Germany;Dresden,2016-04-16,149,0.98,0.55
3295,28044,5,6,Germany;Dresden,2016-04-16,146,0.98,0.55
3296,28045,11,4,Germany;Frankfurt,2016-04-16,139,0.98,0.55
3297,28046,3,2,Denmark;Copenhagen,2016-04-16,137,0.98,0.55
3298,28047,2,5,Germany;Berlin,2016-04-16,135,0.98,0.55
3299,28048,3,5,Germany;Berlin,2016-04-16,130,0.98,0.55
3300,28049,8,7,Germany;Frankfurt,2016-04-16,126,0.98,0.55
3301,28050,3,5,Germany;Berlin,2016-04-16,125,0.98,0.55
3302,28051,1,2,Denmark;Copenhagen,2016-04-16,112,0.98,0.55
3303,28052,5,1,Czech republic;Prague,2016-04-16,109,0.98,0.55
3304,28053,2,1,Czech republic;Prague,2016-04-16,107,0.98,0.55
3305,28054,9,2,Denmark;Copenhagen,2016-04-16,106,0.98,0.55
3306,28055,5,5,Germany;Berlin,2016-04-16,102,0.98,0.55
3307,28056,7,5,Germany;Berlin,2016-04-16,98,0.98,0.4
3308,28057,1,5,Germany;Berlin,2016-04-16,96,0.98,0.4
3309,28058,1,7,Germany;Frankfurt,2016-04-16,91,0.98,0.4
3310,28059,10,4,Germany;Frankfurt,2016-04-16,88,0.98,0.4
3311,28060,6,3,Czech republic;Brno,2016-04-16,88,0.98,0.4
3312,28061,6,3,Czech republic;Brno,2016-04-16,85,0.98,0.4
3313,28062,1,1,Czech republic;Prague,2016-04-16,76,0.98,0.4
3314,28063,5,6,Germany;Dresden,2016-04-16,74,0.98,0.15
3315,28064,10,5,Germany;Berlin,2016-04-16,70,0.98,0.15
3316,28065,8,5,Germany;Berlin,2016-04-16,69,0.98,0.15
3317,28066,1,2,Denmark;Copenhagen,2016-04-16,63,0.98,0.15
3318,28067,11,6,Germany;Dresden,2016-04-16,60,0.98,0.15
3319,28068,11,5,Germany;Berlin,2016-04-16,56,0.98,0.15
3320,28069,3,4,Germany;Frankfurt,2016-04-16,55,0.98,0.15
3321,28070,3,7,Germany;Frankfurt,2016-04-16,46,0.98,0.15
3322,28071,7,5,Germany;Berlin,2016-04-16,44,0.98,0.15
3323,28072,4,4,Germany;Frankfurt,2016-04-16,40,0.98,0.15
3324,28073,6,5,Germany;Berlin,2016-04-16,33,0.98,0.15
3325,28074,6,5,Germany;Berlin,2016-04-16,29,0.98,0.15
3326,28075,1,5,Germany;Berlin,2016-04-16,26,0.98,0.15
3327,28076,4,6,Germany;Dresden,2016-04-16,22,0.98,0.01
3328,28077,6,4,Germany;Frankfurt,2016-04-16,21,0.98,0.01
3329,28078,3,7,Germany;Frankfurt,2016-04-16,18,0.98,0.01
3330,28079,4,2,Denmark;Copenhagen,2016-04-16,17,0.98,0.01
3331,28080,8,5,Germany;Berlin,2016-04-16,10,0.98,0.0
3332,28081,1,5,Germany;Berlin,2016-04-16,4,0.98,0.0
3333,28082,1,5,Germany;Berlin,2016-04-19,148,0.971,0.55
3334,28083,7,5,Germany;Berlin,2016-04-19,148,0.971,0.55
3335,28084,1,7,Germany;Frankfurt,2016-04-19,145,0.971,0.55
3336,28085,4,5,Germany;Berlin,2016-04-19,142,0.971,0.55
3337,28086,11,5,Germany;Berlin,2016-04-19,140,0.971,0.55
3338,28087,3,5,Germany;Berlin,2016-04-19,138,0.971,0.55
3339,28088,8,7,Germany;Frankfurt,2016-04-19,136,0.971,0.55
3340,28089,3,3,Czech republic;Brno,2016-04-19,133,0.971,0.55
3341,28090,2,1,Czech republic;Prague,2016-04-19,129,0.971,0.55
3342,28091,4,5,Germany;Berlin,2016-04-19,125,0.971,0.55
3343,28092,11,2,Denmark;Copenhagen,2016-04-19,124,0.971,0.55
3344,28093,8,6,Germany;Dresden,2016-04-19,121,0.971,0.55
3345,28094,8,7,Germany;Frankfurt,2016-04-19,111,0.971,0.55
3346,28095,1,7,Germany;Frankfurt,2016-04-19,109,0.971,0.55
3347,28096,1,6,Germany;Dresden,2016-04-19,107,0.971,0.55
3348,28097,11,7,Germany;Frankfurt,2016-04-19,103,0.971,0.55
3349,28098,4,4,Germany;Frankfurt,2016-04-19,102,0.971,0.55
3350,28099,10,5,Germany;Berlin,2016-04-19,98,0.971,0.4
3351,28100,9,5,Germany;Berlin,2016-04-19,97,0.971,0.4
3352,28101,6,7,Germany;Frankfurt,2016-04-19,93,0.971,0.4
3353,28102,6,5,Germany;Berlin,2016-04-19,85,0.971,0.4
3354,28103,4,5,Germany;Berlin,2016-04-19,79,0.971,0.4
3355,28104,8,1,Czech republic;Prague,2016-04-19,77,0.971,0.4
3356,28105,11,6,Germany;Dresden,2016-04-19,75,0.971,0.15
3357,28106,5,7,Germany;Frankfurt,2016-04-19,75,0.971,0.15
3358,28107,1,7,Germany;Frankfurt,2016-04-19,72,0.971,0.15
3359,28108,1,5,Germany;Berlin,2016-04-19,71,0.971,0.15
3360,28109,11,5,Germany;Berlin,2016-04-19,68,0.971,0.15
3361,28110,11,5,Germany;Berlin,2016-04-19,65,0.971,0.15
3362,28111,3,5,Germany;Berlin,2016-04-19,61,0.971,0.15
3363,28112,4,7,Germany;Frankfurt,2016-04-19,57,0.971,0.15
3364,28113,8,1,Czech republic;Prague,2016-04-19,57,0.971,0.15
3365,28114,6,7,Germany;Frankfurt,2016-04-19,56,0.971,0.15
3366,28115,10,4,Germany;Frankfurt,2016-04-19,56,0.971,0.15
3367,28116,1,5,Germany;Berlin,2016-04-19,51,0.971,0.15
3368,28117,7,7,Germany;Frankfurt,2016-04-19,33,0.971,0.15
3369,28118,8,5,Germany;Berlin,2016-04-19,32,0.971,0.15
3370,28119,10,7,Germany;Frankfurt,2016-04-19,28,0.971,0.15
3371,28120,7,2,Denmark;Copenhagen,2016-04-19,20,0.971,0.01
3372,28121,2,3,Czech republic;Brno,2016-04-19,14,0.971,0.01
3373,28122,3,2,Denmark;Copenhagen,2016-04-19,12,0.971,0.01
3374,28123,5,5,Germany;Berlin,2016-04-19,11,0.971,0.01
3375,28124,5,2,Denmark;Copenhagen,2016-04-19,10,0.971,0.0
3376,28125,1,5,Germany;Berlin,2016-04-19,8,0.971,0.0
3377,28126,11,5,Germany;Berlin,2016-04-20,149,0.98,0.55
3378,28127,2,6,Germany;Dresden,2016-04-20,146,0.98,0.55
3379,28128,2,3,Czech republic;Brno,2016-04-20,141,0.98,0.55
3380,28129,2,7,Germany;Frankfurt,2016-04-20,130,0.98,0.55
3381,28130,11,6,Germany;Dresden,2016-04-20,128,0.98,0.55
3382,28131,9,7,Germany;Frankfurt,2016-04-20,128,0.98,0.55
3383,28132,11,5,Germany;Berlin,2016-04-20,126,0.98,0.55
3384,28133,8,5,Germany;Berlin,2016-04-20,119,0.98,0.55
3385,28134,11,5,Germany;Berlin,2016-04-20,111,0.98,0.55
3386,28135,5,4,Germany;Frankfurt,2016-04-20,109,0.98,0.55
3387,28136,10,4,Germany;Frankfurt,2016-04-20,104,0.98,0.55
3388,28137,11,7,Germany;Frankfurt,2016-04-20,103,0.98,0.55
3389,28138,6,7,Germany;Frankfurt,2016-04-20,102,0.98,0.55
3390,28139,1,7,Germany;Frankfurt,2016-04-20,100,0.98,0.55
3391,28140,11,5,Germany;Berlin,2016-04-20,98,0.98,0.4
3392,28141,2,2,Denmark;Copenhagen,2016-04-20,98,0.98,0.4
3393,28142,3,5,Germany;Berlin,2016-04-20,96,0.98,0.4
3394,28143,7,2,Denmark;Copenhagen,2016-04-20,94,0.98,0.4
3395,28144,8,2,Denmark;Copenhagen,2016-04-20,90,0.98,0.4
3396,28145,7,1,Czech republic;Prague,2016-04-20,84,0.98,0.4
3397,28146,10,5,Germany;Berlin,2016-04-20,81,0.98,0.4
3398,28147,4,3,Czech republic;Brno,2016-04-20,80,0.98,0.4
3399,28148,10,7,Germany;Frankfurt,2016-04-20,79,0.98,0.4
3400,28149,5,7,Germany;Frankfurt,2016-04-20,72,0.98,0.15
3401,28150,3,2,Denmark;Copenhagen,2016-04-20,64,0.98,0.15
3402,28151,2,5,Germany;Berlin,2016-04-20,63,0.98,0.15
3403,28152,4,5,Germany;Berlin,2016-04-20,63,0.98,0.15
3404,28153,6,7,Germany;Frankfurt,2016-04-20,62,0.98,0.15
3405,28154,4,5,Germany;Berlin,2016-04-20,52,0.98,0.15
